user,distance,story
4219571a-bf01-4ae9-8c6c-ded982daf8ff,0,malawi
74066c07-0c2a-4535-a9a4-7e992dd584b0,0,malawi
1b4d61dc-aebc-415a-8881-57346eb4972d,0,malawi
c2e236c4-bb2b-44dc-a7a9-014942866e57,2,malawi
6b30dd96-8b8c-4f2e-b823-2bf7b8d1ab1b,0,malawi
035871d4-e1da-4812-b7b9-135ac07c7cec,0,malawi
b1617141-8e89-4664-b8f4-f3d86d47c11b,4,malawi
75b81d35-fcec-4af3-aa23-f6a2d20c9211,0,malawi
03c6fc66-c17d-496a-b92d-593611664049,1,malawi
2118d385-7754-4f5b-ae2e-337cb0b5bb8f,3,malawi
f174ef0b-197b-467f-aeae-6d4350c6da95,0,malawi
058b78b2-dcef-46df-86cc-7137987fe7e6,0,malawi
accb13c0-464d-4b78-9865-bcbf93c2b954,0,malawi
2e98030a-b16b-4e8d-9fbb-e9a838f0c569,0,malawi
d4493e3c-5c2f-4048-900f-3b0ab62d2b63,4,malawi
1015c863-8ff5-46c7-9935-7feed73390ab,3,malawi
388a0794-46ff-4616-8eba-ba87c3770d83,3,malawi
90f6a1e9-3ac7-498d-91ac-4ce52d034d39,0,malawi
4bfb5965-22a5-433c-912d-0f7956c37733,0,malawi
24ae07bc-a84f-4f60-b30f-4aa382e68875,2,malawi
29b2f712-4841-45e6-be57-8fec9c04d355,4,malawi
78076d38-533c-4143-93ce-fe4dbfca8085,0,malawi
3b576f21-0e78-452c-838a-206cdb83ca21,0,malawi
4ff6950c-0b92-47ec-80dc-62611a016762,1,malawi
b9951622-9500-4efc-a1c0-6cc9f8d8185c,0,malawi
977b174b-e908-4d7d-be47-885d14ad17e4,0,malawi
ba0ce190-de81-47e2-bc4c-cea40b036c0c,4,malawi
a5d01e3a-2d60-4cef-a94c-cece92f0e557,0,malawi
f882568f-c39f-42ec-80d0-6a9351183e5f,0,malawi
30bc1bc1-04d6-48fc-a939-d61924dc1798,0,malawi
c8d137e9-f92f-4d37-8e1b-348c3b26fe66,0,malawi
967a9986-e88e-481b-be9c-6f25f3659c3a,0,malawi
dde4a511-3dae-4ac7-ad2a-ac62ffdc8f7d,4,malawi
8572852e-25a3-4b23-96be-779363d10648,4,malawi
ba9f8815-6bb9-4c20-89c3-cd0a7a2b0c9e,2,malawi
749bc2df-c679-4d77-82f5-2b138eea5bf4,0,malawi
6309eabf-d379-4251-9e0f-4fe6a05afaae,0,malawi
c2563eb0-f8dd-4596-900f-7aab442db665,0,malawi
e5ad5b42-67f9-491c-90cf-c45c02ff715c,4,malawi
d0ca3bac-d69c-48d5-a92a-ac06cf046622,0,malawi
da9ac82a-19a4-4bc5-b7a5-fda783041862,0,malawi
da924a70-0363-4ec0-b6d6-f740fa08a1b3,0,malawi
e407252e-db3c-4bb9-b66c-27907c49f387,4,malawi
143c88a2-5b6f-4cc1-bb71-75028649707a,2,malawi
2c7f4768-c7d9-4767-aeda-9a40679e2204,4,malawi
b1e02b4e-7da3-4adc-ad4a-4800a5bbb9e4,4,malawi
c3f64640-aca2-4219-bb6f-12d01e1ae883,0,malawi
65884a06-679f-44b2-81c5-e29086f4e2a4,0,malawi
eed60f6c-f12a-42de-8b21-bad6649ce197,0,malawi
f8c72a44-3d72-4fe4-93c2-fc2215f7f3ce,0,malawi
09924733-c909-4cd3-802e-3d41de7edb05,0,malawi
647ac783-298d-4ae4-955d-c2040260d4b5,0,malawi
9a0e5d67-17a1-4bd0-9997-7b64a2b30ece,0,malawi
bff5671c-aa28-458e-bc35-4d44a065d6c8,4,malawi
2a9a0b8f-dc95-400b-aa00-e65e8b7cde24,4,malawi
3e012463-1ffd-4f91-b58c-888403dc60bc,0,malawi
03add8f0-7791-4cbe-89ca-8e9fbc33d875,0,malawi
69f74cc3-80bf-4996-9615-7c10143d557d,0,malawi
27f0dbb5-18c1-4b3d-92bd-67b93abb9c52,0,malawi
33a43bed-3644-4e45-8f14-a28a3d32f91a,0,malawi
8162deae-42cb-4685-821e-b56030de17f1,0,malawi
8ffc75c6-d481-4a93-adb2-7fb24f14ff97,4,malawi
4a05f1d8-bcc7-4fa4-a8a9-08b216fb81bd,4,malawi
50898855-6084-4a2c-b042-796e5d9954bb,0,malawi
5ce36496-7e03-4cb5-aca2-87e1dfc44d3a,3,malawi
2adbf00e-ea42-46e1-ace3-250bb32e6bf4,4,malawi
20b68809-5df8-49f4-98a3-7d574f0d49e1,2,malawi
09ab6a84-98a9-4fc1-9f2a-b0f2e05c662f,0,malawi
129bd704-5204-46f3-8ffc-112f396671ca,1,malawi
caad001a-38b5-49d0-a924-36153bf32701,3,malawi
93bfa641-16de-47ee-a8f5-e70f2fdcd766,0,malawi
b8255bc3-0f73-4e64-8fb9-0587a8393c27,3,malawi
9fbbb35c-aa9f-4d42-a19b-1863db032036,3,malawi
ed78c17d-9331-4571-9f09-c3ff5310fcfe,4,malawi
17c4e255-0a8e-4bff-baf9-5af654d86e4e,0,malawi
28cbb14c-bf21-45d8-a670-eea857520d94,0,malawi
f69a2d20-1a8c-4189-a9ad-af3a14dccde2,0,malawi
020dcb2e-c3bf-47c9-8a17-b9a27fdaf8b6,0,malawi
9eefec4d-b3ed-4c3b-b971-d0dc84cb5c77,4,malawi
72af7dcb-29eb-4511-94a6-611a2770eaaf,0,malawi
ac7c46a6-5adb-4cb7-9400-9bffdbb93fa6,3,malawi
99242d27-6214-4641-85f0-b2648beca59c,4,malawi
60b393fc-2f5f-4edd-8e28-a720419dede7,0,malawi
86fcde3e-d77d-4891-ba2f-b06c4329e004,0,malawi
d93e12c9-ce40-4bcb-8fde-c794747f4aee,0,malawi
2d2fdc10-8d4b-4bb8-afbe-dc07f555e41b,0,malawi
1b2256bb-d94c-4d20-88c0-6ea0de58a946,0,malawi
f6ef651b-d7a5-44bd-a273-7420e5ecbb18,2,malawi
e01e1941-6316-491d-8a6e-80ce11aa86e3,0,malawi
47c6a15a-ab07-449b-83c8-90bd70f7f451,0,malawi
cf3121e5-af40-427e-9798-7e1409b299bc,0,malawi
64b66b8f-6de7-4ce7-9fa6-2bda04325c4a,1,malawi
97dbcaf7-5b5b-4898-84d7-a80d22dc7dfe,0,malawi
d9c2fc3a-259c-4e73-9b52-b7cb1ea828ce,0,malawi
a9d14867-c664-4218-ad17-aa1d0da5e9e6,4,malawi
dc4169b9-932f-49f6-8f07-27b64a98869a,3,malawi
926468b2-1ba8-4f17-81cd-2489b0d1a837,0,malawi
a3c4213c-e7cc-4b6f-85a1-aec60d099c72,0,malawi
740921b2-cf64-4540-8c89-496631caae4c,0,malawi
bf9c5fae-2e04-49a4-a5a4-6df564402685,0,malawi
cf0d3929-1ff8-4783-b8c4-db49d4edda6c,0,malawi
5a7aec7d-49c0-4eaf-862d-0751dc51bfec,3,malawi
239b0c93-c4ce-4cb8-995a-bc4a013008c2,0,malawi
f7ab42ba-9140-474e-9d46-1da0ceca709a,0,malawi
292dcace-ceb4-4b52-b1e0-059605fc130d,0,malawi
1d96e81e-8b64-423c-a825-8e2c099e513d,0,malawi
efad06df-917f-4a53-985f-41c256de85c2,0,malawi
78623636-a5b3-4a67-b7bb-91edf8c83da7,4,malawi
603b1787-a45a-458f-baa9-d31ba0ef9790,2,malawi
b8a52b0b-511d-4366-8718-9c42aa49bc22,0,malawi
aca253b0-199b-49b0-b1e7-221c45b90f60,0,malawi
acb2fb77-607b-4c3e-8a8e-8c5156d045a0,0,malawi
00caaf90-2b1f-4a36-a018-50bcec860997,0,malawi
9ad33706-6201-4ebb-b6c4-79e83301c27a,0,malawi
bca4acc6-13f0-43d8-a836-2be8f27f1c23,0,malawi
03376a80-cc11-4a15-877f-6d766e9a7608,0,malawi
a037d10b-8fe3-4920-ae65-61172b801260,4,malawi
105b2f91-5a57-4d04-8c14-e36d7d5cfd0b,0,malawi
f43091f8-7172-40a6-b1eb-16b882c4cacb,0,malawi
72a35cd5-e1bb-4409-853d-6c557ec24b00,2,malawi
e4d4651d-33ab-466d-9c24-268b7607d1f7,4,malawi
36c5c9e8-2454-46cf-869d-cfe4bba89abc,4,malawi
65e0570b-2d2c-4554-8067-591a65a20a18,0,malawi
a11e0553-b831-4e6d-bf33-47e797807d07,0,malawi
2cc2c7cb-843e-4b31-89d7-1ece6dd84e95,4,malawi
03662407-6cc0-4a1c-bc56-9abcf76b2189,0,malawi
612e6756-e5f1-4b55-a3e5-7750ff51bdd2,4,malawi
c887d50b-0431-4ca0-96a7-8712e6b37ec5,2,malawi
a488c990-d3bb-4d50-9451-d9275bb3f9c6,0,malawi
677c5331-a0fc-4bbb-b025-c58a77f0d624,3,malawi
67cd39ed-fb25-4a6d-899d-e4fe784d06b5,0,malawi
82b594a2-7d48-4127-8c34-1d6ce2110ba9,0,malawi
0fba67e1-cb7e-4ba0-a371-1f5d938d4d44,4,malawi
7190ea25-97a2-4147-bb26-c32c91a9bb6b,0,malawi
287781d2-9ac6-46d2-9161-6857592accdf,0,malawi
d02986ae-8535-46a9-aa4c-b07bd327ecd2,4,malawi
b7e9cb2a-be74-4662-a849-a9fae7367a6f,0,malawi
58b2a0ee-b7ba-4e3c-bfb0-fae054a02d5b,0,malawi
d276ff29-3464-442e-8530-8601e513d1fa,0,malawi
d87a9281-c76b-417d-a595-600c5396a22c,4,malawi
76d07bc9-b472-46d7-9d3c-4828e0a8a7b8,1,malawi
934ebd45-5e90-4827-8c51-eb1eea6c9047,0,malawi
b44220e3-cc12-442e-b08f-338b56538a17,0,malawi
8ce5537f-6654-4138-ab02-bd372e62e7d0,0,malawi
724d660e-4c58-44e4-9ac2-095170bd4453,0,malawi
2b08acb8-9d1c-4f9e-b498-c3948e900692,3,malawi
6734742f-fd9c-45b4-8607-88cf5f41e4e1,0,malawi
39750f0e-4bfd-4f12-913d-3604b8151e3e,0,malawi
a3b966e8-67b4-4b82-bf40-726c46ecd546,1,malawi
440f6931-d3c6-4686-8b5a-43cc37689a88,0,malawi
60f1cbdf-1418-4404-be3f-a3cb01d25193,0,malawi
b775f485-bd70-470f-8148-0e4b92401561,0,malawi
741ab75e-56dd-477b-9bfa-d92d464e12e3,4,malawi
6dff69d1-5d94-4f85-b049-1555c814dd95,0,malawi
ae0b85de-cb19-4ed9-81c6-97e81b2e4213,1,malawi
0ca04016-f77e-4a7f-8f1d-57671e6a7568,0,malawi
5af0e2c3-15f3-41c4-8622-ed7d372ad039,0,malawi
b2545733-8b30-40c9-b7bb-a523eda10551,0,malawi
120fa62d-8b88-4283-9091-4772187bd516,0,malawi
f9d8a2ab-eb87-4ad8-ad10-86978dc98997,0,malawi
788e213c-2b6b-453c-ae2a-3889418738bf,0,malawi
5cc406f3-9c19-462a-a114-a1c1c50832cf,3,malawi
0c397fde-2cba-4042-beb8-4e7186d4dc12,0,malawi
501bcb86-b6e5-442e-80c9-17d4d0eb2088,4,malawi
cddfbdef-ba4a-4fc2-84c3-07afdbb03a8e,4,malawi
38a0a13e-7d22-4f36-9f32-e2211963141e,0,malawi
1d46ffd2-cf04-4c53-a3ff-3f8777ed0591,3,malawi
655a772e-9cd7-42b7-bad5-f35065718286,2,malawi
bd5ef8bc-74dc-4f19-b0b7-2e92cacde1a2,0,malawi
287de85a-c212-4f31-8750-23bc440928f6,0,malawi
e840681b-b8e9-4c86-bff0-eae3f7c4dc41,4,malawi
a7706dcb-2c63-41ae-94d7-e82e9c55d834,0,malawi
156667a9-61eb-4d84-9d18-c65d133e0f00,0,malawi
6be8842f-0795-4673-bd8c-cebc63d2661e,0,malawi
8520861e-d58d-4e2d-bd45-b866d17e0bc7,0,malawi
b7b4e259-043c-4047-9c8c-1452aade5818,4,malawi
19556a18-5f18-453b-9561-3733bd900f10,0,malawi
