user,pre_avg_nec_time,pre_norm_avg_nec_time,pre_std_nec_time,pre_norm_std_nec_time,pre_link_choice_clicked,pre_narrative_element_change,pre_link_choice_ratio
2a916a2d-4c88-47ae-bf12-f541d9e3525e,57.606,0.802,11.49,0.401,4,6,0.667
684c8eec-4020-42fc-bdc9-09eeacc63fad,59.997,0.812,10.001,0.406,8,6,1.333
6c622faf-d7f0-4929-ac0f-439946ab9b2b,64.204,0.783,15.362,0.397,9,6,1.5
40112069-172e-4651-91e5-84830f806346,56.639,0.753,12.433,0.394,25,6,4.167
3def0648-0efe-46ed-86c3-175e275238d9,53.084,0.759,16.11,0.398,8,6,1.333
ee44e27a-c3a7-4233-a547-ec00ded9489b,19.49,0.214,6.55,0.126,16,6,2.667
3b97053d-a89a-4655-a304-e23bbe4b042b,62.735,0.801,10.191,0.401,4,6,0.667
7b022f7b-1ce4-47d0-93f3-5486a959edb0,52.057,0.745,15.75,0.389,7,6,1.167
09134122-1b28-4082-84d1-11b3d6d54a52,56.097,0.771,12.967,0.397,8,6,1.333
7e0896fb-e7a1-4e4b-829c-7ab420fd8a7d,61.899,0.801,14.419,0.4,3,6,0.5
427d7cf8-7682-48d9-832d-780f9d7f7826,62.41,0.923,21.206,0.582,5,8,0.625
f8f3fb51-0042-49e1-8ad4-6406e77755ca,63.673,0.93,27.388,0.611,15,6,2.5
830e93b2-daad-4131-863e-a83f9f54d4bf,57.15,0.816,12.624,0.409,5,6,0.833
638e8a63-afc9-4722-b886-8986816b6d2a,54.018,0.753,14.408,0.393,11,6,1.833
e99ecb34-e6ab-4972-99b6-b1c3135c1003,65.661,0.766,16.177,0.392,20,6,3.333
0bfa259e-2623-4fce-8771-b86bbf0a6e8b,60.873,0.761,16.887,0.388,22,6,3.667
fb9ebd59-b25b-471c-8f06-e507553f05aa,56.909,0.807,13.207,0.404,6,6,1.0
e704dc48-9763-4571-bace-db7f8bb8049d,53.374,0.75,14.387,0.389,14,6,2.333
d9bc2e40-ab55-4e73-b7ad-8e13742d5a77,54.087,0.747,13.992,0.392,9,6,1.5
766b7609-5474-4b9b-8335-149447a3cf2f,67.516,0.938,20.811,0.629,5,6,0.833
